Letter,Drug Name,Price,Prescription Required (hkt-küb),Prosp,Active Ingredient,ATC Code,Prescription Status,Pharmaceutical Company,Barcode,Last Update Date,Detail Page URL,Nasıl Kullanılmalı?,Hangi Hastalıklar İçin Kullanılır?
A,"ABALEVO 1,5 MG TABLET (1 TABLET)","547,14",Yes,No,levonorgestrel,G03AC03,Beyaz Reçete ile satılır.,ABAYPHARMA SAĞLIK ÜRÜNLERİ SAN. TİC. A.Ş.,8681725054770,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABAVIR 245 MG 30 FILM KAPLI TABLET,"1.801,50",Yes,No,tenofovir disoproksil,J05AF07,Beyaz Reçete ile satılır.,DROGSAN İLAÇLARI SAN. VE TİC. A.Ş.,8699580090598,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABETYL 500 MG FILM KAPLI TABLET (60 FILM KAPLI TABLET),"19.699,98",Yes,No,abirateron,L02BX03,Beyaz Reçete ile satılır.,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş,8699514096641,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABILIFY 1 MG/ML ORAL SOLUSYON 150 ML,"526,96",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş,8680683590023,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABILIFY 10 MG 28 TABLET,"656,76",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş,8680683010149,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABILIFY 15 MG 28 TABLET,"656,76",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş,8680683010156,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABILIFY 30 MG 28 TABLET,"1.279,43",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş,8680683010163,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABILIFY 5 MG 28 TABLET,"420,95",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş,8680683010132,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABILIFY MAINTENA 400 MG UZUN SALIMLI IM ENJEKSIYONLUK 1 FLAKON,"5.321,76",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,ABDİ İBRAHİM OTSUKA İLAÇ SAN. VE TİC. A.Ş,8680683780028,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABIRATEX 250 MG 120 TABLET,"24.526,93",Yes,No,abirateron,L02BX03,Beyaz Reçete ile satılır.,GENSENTA İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ,8699541015349,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABIZOL 1 MG/ML ORAL COZELTI 150 ML,"478,81",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,NOBEL İLAÇ SANAYİİ VE TİCARET A.Ş.,8699540570078,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABIZOL 10 MG 28 TABLET,"656,76",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,NOBEL İLAÇ SANAYİİ VE TİCARET A.Ş.,8699540016668,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABIZOL 15 MG 28 TABLET,"656,76",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,NOBEL İLAÇ SANAYİİ VE TİCARET A.Ş.,8699540016712,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABIZOL 20 MG 28 TABLET,"859,91",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,NOBEL İLAÇ SANAYİİ VE TİCARET A.Ş.,8699540016767,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABIZOL 30 MG 28 TABLET,"1.279,91",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,NOBEL İLAÇ SANAYİİ VE TİCARET A.Ş.,8699540016811,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABIZOL 5 MG 28 TABLET,"370,16",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,NOBEL İLAÇ SANAYİİ VE TİCARET A.Ş.,8699540016613,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABIZOL EASYTAB 10 MG 28 AGIZDA DAGILAN TABLET,"656,76",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,NOBEL İLAÇ SANAYİİ VE TİCARET A.Ş.,8699540070097,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABIZOL EASYTAB 15 MG 28 AGIZDA DAGILAN TABLET,"656,76",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,NOBEL İLAÇ SANAYİİ VE TİCARET A.Ş.,8699540070110,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABIZOL EASYTAB 5 MG AGIZDA DAGILAN 28 TABLET,"336,50",Yes,No,aripiprazol,N05AX12,Beyaz Reçete ile satılır.,NOBEL İLAÇ SANAYİİ VE TİCARET A.Ş.,8699540070080,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABOUND PORTAKAL AROMALI 30 POSET x 24 G,"4.504,08",No,No,,,Beyaz Reçete ile satılır.,ABBOTT LABORATUARLARI İTHALAT İHRACAT VE TİCARET LİMİTED ŞİRKETİ,8699548993756,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABRYSVO 0.5 ML IM ENJEKSIYONLUK COZELTI HAZIRLAMAK ICIN TOZ VE COZUCU (1 ADET),"4.549,72",Yes,No,rsv aşısı,J07BXxx01,Beyaz Reçete ile satılır.,PFİZER PFE İLAÇLARI ANONİM ŞİRKETİ,8681308961235,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABSTRAL 100 MCG 10 DILALTI TABLET,"750,70",Yes,No,fentanyl,N02AB03,Kirmizi Reçete ile satılır.,ER-KİM İLAÇ SANAYİ VE TİCARET A.Ş.,8699538055600,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABSTRAL 200 MCG 10 DILALTI TABLET,"847,78",Yes,No,fentanyl,N02AB03,Kirmizi Reçete ile satılır.,ER-KİM İLAÇ SANAYİ VE TİCARET A.Ş.,8699538055617,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABSTRAL 400 MCG 10 DILALTI TABLET,"566,88",Yes,No,fentanyl,N02AB03,Kirmizi Reçete ile satılır.,ER-KİM İLAÇ SANAYİ VE TİCARET A.Ş.,8699538055624,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABSTRAL 800 MCG 10 DILALTI TABLET,"886,85",Yes,No,fentanyl,N02AB03,Kirmizi Reçete ile satılır.,ER-KİM İLAÇ SANAYİ VE TİCARET A.Ş.,8699538055631,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABYGA 250 MG TABLET (120 TABLET),"19.702,83",Yes,No,abirateron,L02BX03,Beyaz Reçete ile satılır.,DEVA HOLDİNG ANONİM ŞİRKETİ,8699525019776,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ABYGA 500 MG FILM KAPLI TABLET (60 TABLET),"19.702,83",Yes,No,abirateron,L02BX03,Beyaz Reçete ile satılır.,DEVA HOLDİNG ANONİM ŞİRKETİ,8699525099532,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"ACCUZIDE 20 MG/12,5 MG 30 FILM TABLET","104,74",Yes,No,kinapril hcl + hidroklorotiazid,C09BA06,Beyaz Reçete ile satılır.,PFİZER PFE İLAÇLARI ANONİM ŞİRKETİ,8681308091185,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACCUZIDE FORT 20 MG/25 MG 30 FILM KAPLI TABLET,"170,76",Yes,No,kinapril hcl + hidroklorotiazid,C09BA06,Beyaz Reçete ile satılır.,PFİZER PFE İLAÇLARI ANONİM ŞİRKETİ,8681308091123,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"ACDKIDS PLUS 2000 IU+ 3333 IU+70 MG/ML ORAL DAMLA, COZELTI (30 ML)","170,82",Yes,No,mültivitamin,A11BA01,Beyaz Reçete ile satılır.,LİLYUM İLAÇ VE KİMYA SANAYİ TİCARET ANONİM ŞİRKETİ,8681911590020,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACE PLUS SELENYUM 30 YUMUŞAK KAPSÜL,"659,54",Yes,Yes,mültivitamin mineral kombinasyonu,A11AA01,Reçetesiz ile satılır.,KOÇAK FARMA İLAÇ VE KİMYA SANAYİ A.Ş.,8699828190042,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACETUDIL 90 MG UZATILMIS SALIMLI SERT KAPSUL (10 KAPSUL),"113,62",Yes,No,asemetasin,M01AB11,Beyaz Reçete ile satılır.,SANTA FARMA İLAÇ SAN. A.Ş.,8699527150132,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACETUDIL FORTE 60 MG KAPSUL (20 KAPSUL),"109,59",Yes,No,asemetasin,M01AB11,Beyaz Reçete ile satılır.,SANTA FARMA İLAÇ SAN. A.Ş.,8699527151016,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACIDPASS 10 MG/800 MG/165 MG 12 CIGNEME TABLETI,"156,48",Yes,No,"famotidin, antiasit kombinasyonu",A02BA53,Beyaz Reçete ile satılır.,İLKO İLAÇ SAN. VE TİC. A.Ş.,8699680080109,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACIDPASS 10/800/165 MG CIGNEME TABLETI (6 TABLET),"90,18",Yes,No,"famotidin, antiasit kombinasyonu",A02BA53,Beyaz Reçete ile satılır.,İLKO İLAÇ SAN. VE TİC. A.Ş.,8699680080093,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACLABON 5MG/100 ML IV INFUZYON COZELTISI ICEREN 1 FLAKON,"4.161,45",Yes,No,zoledronik asit monohidrat,M05BA08,Beyaz Reçete ile satılır.,KOÇAK FARMA İLAÇ VE KİMYA SANAYİ A.Ş.,8699828690191,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACLASTA 5MG/100 ML IV INFUZYON COZELTISI,"4.226,90",Yes,No,zoledronik asit monohidrat,M05BA08,Beyaz Reçete ile satılır.,SANDOZ İLAÇ SANAYİ VE TİCARET A.Ş.,8681428690442,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACLOREM %0.05 KREM (60 G),"347,78",Yes,No,alklometazon,S01BA10,Beyaz Reçete ile satılır.,SOLEBİO İLAÇ SANAYİ İTHALAT İHRACAT A.Ş,8681728350053,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACMEL 500 MG/5 ML IM/IV/SC ENJEKSIYONLUK COZELTI (5 ADET),"113,62",Yes,No,vitamin c,A11GA01,Beyaz Reçete ile satılır.,MENTA PHARMA İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ,8681332750010,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACNEDUR %3 MERHEM (20 G),"236,32",Yes,No,tetrasiklin -topikal,D06AA04,Beyaz Reçete ile satılır.,ADEKA İLAÇ SANAYİ VE TİCARET A.Ş.,8699587383136,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACNEFFERIN % 0.1 JEL,"608,41",Yes,No,adapalen,D10AD03,Beyaz Reçete ile satılır.,MEGA-FARMA İLAÇ VE KOZMETİK SANAYİ TİCARET PAZARLAMA LİMİTED ŞİRKETİ,8699789380070,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACNEGEN 10 MG 30 YUMUSAK JELATIN KAPSUL,"113,62",Yes,No,isotretinoin,D10BA01,Beyaz Reçete ile satılır.,BİO-GEN İLAÇ SANAYİ TİC.LTD.ŞTİ.,8699821190100,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACNEGEN 20 MG 30 YUMUSAK JELATIN KAPSUL,"171,19",Yes,No,isotretinoin,D10BA01,Beyaz Reçete ile satılır.,BİO-GEN İLAÇ SANAYİ TİC.LTD.ŞTİ.,8699821190094,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"ACNELYSE %0,025 KREM (20 G)","523,23",Yes,No,tretinoin -topikal,D10AD01,Beyaz Reçete ile satılır.,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş,8699514350170,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"ACNELYSE %0,05 KREM","523,23",Yes,No,tretinoin -topikal,D10AD01,Beyaz Reçete ile satılır.,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş,8699514350118,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"ACNELYSE %0,1 KREM","523,23",Yes,No,tretinoin -topikal,D10AD01,Beyaz Reçete ile satılır.,ABDİ İBRAHİM İLAÇ SANAYİ VE TİCARET A.Ş,8699514355908,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"ACNEMIX % 5 + % 3 JEL (46,6 G)","352,08",Yes,No,benzoil peroksit + eritromisin,D10AF52,Beyaz Reçete ile satılır.,BİLİM İLAÇ SANAYİİ VE TİCARET A.Ş.,8699569340089,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACNEMYCIN %3+%5 JEL,"352,08",Yes,No,benzoil peroksit + eritromisin,D10AF52,Beyaz Reçete ile satılır.,ERA PHARMA ANALİTİK ÇÖZÜMLER VE İLAÇ SANAYİ TİCARET ANONİM ŞİRKETİ,8681293079120,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACNEWELL %5 JEL (30 GR),"405,52",Yes,No,dapson,D10AX05,Beyaz Reçete ile satılır.,İLKO İLAÇ SAN. VE TİC. A.Ş.,8699680340029,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACNEWELL %7.5 JEL (30 G),"555,52",Yes,No,dapson,D10AX05,Beyaz Reçete ile satılır.,İLKO İLAÇ SAN. VE TİC. A.Ş.,8699680340036,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACT 300MG/3ML (%10) ENJEKSIYONLUK COZELTI (5 AMPUL),"92,91",Yes,No,asetilsistein,R05CB01,Beyaz Reçete ile satılır.,ADEKA İLAÇ SANAYİ VE TİCARET A.Ş.,8699587752574,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTEDAY 35 MG 4 FILM KAPLI TABLET,"241,11",Yes,No,risedronate sodium,M05BA07,Beyaz Reçete ile satılır.,NEUTEC İLAÇ SANAYİ TİCARET ANONİM ŞİRKETİ,8680881091056,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"ACTEMRA 162 MG/ 0,9 ML SC ENJ. COZELTI ICEREN KULLANIMA HAZIR 4 ENJEKTOR","16.472,97",Yes,No,tosilizumab,L04AC07,Kisitlanmiş Beyaz Reçete ile satılır.,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ,8699505952840,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTEMRA 200 MG/10 ML IV INFUZYONLUK COZELTI KONSANTRESI 1 FLAKON,"7.587,12",Yes,No,tocilizumab,L04AC07,Beyaz Reçete ile satılır.,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ,8699505762296,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTEMRA 400 MG/20 ML IV INFUZYONLUK COZELTI KONSANTRESI 1 FLAKON,"15.064,35",Yes,No,tocilizumab,L04AC07,Beyaz Reçete ile satılır.,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ,8699505762319,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTEMRA 80 MG/4 ML IV INFUZYONLUK COZELTI KONSANTRESI 1 FLAKON,"3.100,79",Yes,No,tocilizumab,L04AC07,Beyaz Reçete ile satılır.,ROCHE MÜSTAHZARLARI SANAYİ ANONİM ŞİRKETİ,8699505762272,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTIFED 150 ML ŞURUP,"95,43",Yes,No,psödoefedrin kombinasyon,R01BA52,Beyaz Reçete ile satılır.,GLAXOSMİTHKLİNE İLAÇLARI SAN. VE TİC. A.Ş.,8699522575176,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTIFED 60 MG 30 TABLET,"86,90",Yes,No,psödoefedrin kombinasyon,R01BA52,Beyaz Reçete ile satılır.,GLAXOSMİTHKLİNE İLAÇLARI SAN. VE TİC. A.Ş.,8699522015245,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTILYSE 10 MG 1 FLAKON,"5.200,58",Yes,No,alteplaz,B01AD02,Beyaz Reçete ile satılır.,BOEHRİNGER INGELHEİM İLAÇ TİCARET A.Ş.,8699693790026,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTILYSE 50 MG 1 FLAKON,"21.403,23",Yes,No,alteplaz,B01AD02,Beyaz Reçete ile satılır.,BOEHRİNGER INGELHEİM İLAÇ TİCARET A.Ş.,8699693790040,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTINOMA %3 JEL,"353,18",Yes,No,diklofenak -topikal,M02AA15,Beyaz Reçete ile satılır.,ORVA İLAÇ SAN. VE TİC. A.Ş.,8699561340087,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTIVELLE 28 FILM TABLET,"302,51",Yes,No,estradiol + noretisteron,G03FB05,Beyaz Reçete ile satılır.,NOVO NORDISK SAĞLIK ÜRÜNLERİ TİCARET LİMİTED ŞİRKETİ,8699676090617,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTOS 15 MG 28 TABLET,"351,23",Yes,No,pioglitazon,A10BG03,Beyaz Reçete ile satılır.,ACİNO TURKEY İLAÇ ANONİM ŞİRKETİ,8682758010016,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTOS 30 MG TABLET (28 TABLET),"490,31",Yes,No,pioglitazon,A10BG03,Beyaz Reçete ile satılır.,ACİNO TURKEY İLAÇ ANONİM ŞİRKETİ,8682758010023,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTRAPID HM 100 IU/ML DERIALTI VE IV KULLANIM ICIN ENJ. COZELTI ICEREN 1 FLAKON,"314,72",Yes,No,insülin human -kısa etkili,A10AB01,Beyaz Reçete ile satılır.,NOVO NORDISK SAĞLIK ÜRÜNLERİ TİCARET LİMİTED ŞİRKETİ,8699676770496,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACTRAPID HM PENFILL 100/3 IU/ML 5 PENFİLL,"633,06",Yes,No,insülin human -kısa etkili,A10AB01,Beyaz Reçete ile satılır.,NOVO NORDISK SAĞLIK ÜRÜNLERİ TİCARET LİMİTED ŞİRKETİ,8699676950348,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"ACUFIX %0,4 GOZ DAMLASI 5 ML","113,62",Yes,No,ketorolak -oftalmik,S01BC05,Beyaz Reçete ile satılır.,DEVA HOLDİNG ANONİM ŞİRKETİ,8699525610157,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACUITEL 20 MG BOLUNEBILIR FILM KAPLI TABLET (20 TABLET),"65,87",Yes,No,kinapril hcl,C09AA06,Beyaz Reçete ile satılır.,PFİZER PFE İLAÇLARI ANONİM ŞİRKETİ,8681308091093,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"ACULAR LS STERİL GÖZ DAMLASI %0,4 5 ML","113,62",Yes,No,ketorolak -oftalmik,S01BC05,Beyaz Reçete ile satılır.,ABBVİE TIBBİ İLAÇLAR SANAYİ VE TİCARET LİMİTED ŞİRKETİ,8699490561027,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ACYL %5 10 GR KREM,"130,07",Yes,No,asiklovir -topikal,D06BB03,Beyaz Reçete ile satılır.,GLOBAL PHARMA İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ,8680381900193,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"ADACEL 0,5 ML IM ENJ. ICIN SUS. ICEREN FLAKON","839,97",Yes,No,difteri + boğmaca + tetanoz aşı,J07CA,Beyaz Reçete ile satılır.,SANOFİ PASTEUR AŞI TİC. A.Ş.,8699625960466,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"ADADERM %0,1 JEL 30 G","673,05",Yes,No,adapalen,D10AD03,Beyaz Reçete ile satılır.,KURTSAN İLAÇLARI ANONİM ŞİRKETİ,8699512008790,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ADALAT CRONO 30 MG 20 KONTROLLÜ SALIM TABLETİ,"249,35",Yes,No,nifedipin,C08CA05,Beyaz Reçete ile satılır.,BAYER TÜRK KİMYA SAN. LTD. ŞTİ.,8699546031870,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,"ADAMAKS 200 MG/5ML ORAL SUSPANSIYON HAZIRLAMAK ICIN TOZ,30ML","336,07",Yes,No,azitromisin,J01FA10,Beyaz Reçete ile satılır.,ADVANCE İLAÇ ANONİM ŞİRKETİ,8683498330006,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ADAMAKS 500 MG FILM KAPLI TABLET (3 TABLET),"485,89",Yes,No,azitromisin,J01FA10,Beyaz Reçete ile satılır.,ADVANCE İLAÇ ANONİM ŞİRKETİ,8683498330013,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ADCETRIS 50 MG IV INFUZYONLUK COZELTI KONSANTRESI ICEREN FLAKON (1 FLAKON),"69.272,15",Yes,No,brentuksimab,L01XC12,Beyaz Reçete ile satılır.,TAKEDA İLAÇ SAĞLIK SANAYİ TİCARET LTD.ŞTİ.,8699456790058,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ADELEKS 4 MG 20 TABLET,"154,19",Yes,No,tiyokolşikosid,M03BX05,Beyaz Reçete ile satılır.,GENSENTA İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ,8699541014304,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ADELEKS 4 MG/2 ML IM ENJEKSİYONLUK COZELTI ICEREN AMPUL (6 AMPUL),"113,62",Yes,No,tiyokolşikosid,M03BX05,Beyaz Reçete ile satılır.,GENSENTA İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ,8699541751605,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
A,ADELEKS 8 MG 14 TABLET,"171,19",Yes,No,tiyokolşikosid,M03BX05,Beyaz Reçete ile satılır.,GENSENTA İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ,8699541015226,14 Kasım 2025,,Doktorunuza danışınız.,Doktorunuza danışınız.
